


📡央视频道,#genre#
CCTV5体育,http://221.226.218.162:9901/tsfile/live/65436_1.m3u8?key=txiptv
CCTV5+体育赛事,http://221.226.218.162:9901/tsfile/live/65449_1.m3u8?key=txiptv
CCTV6电影,http://221.226.218.162:9901/tsfile/live/65437_1.m3u8?key=txiptv
CCTV7国防军事,http://222.217.243.197:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://221.226.218.162:9901/tsfile/live/65438_1.m3u8?key=txiptv
CCTV8电视剧,http://221.226.218.162:9901/tsfile/live/65439_1.m3u8?key=txiptv
CCTV9记录,http://221.226.218.162:9901/tsfile/live/65440_1.m3u8?key=txiptv
CCTV10科教,http://222.217.243.197:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://221.226.218.162:9901/tsfile/live/65441_1.m3u8?key=txiptv
CCTV11戏曲,http://222.217.243.197:8181/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://221.226.218.162:9901/tsfile/live/65442_1.m3u8?key=txiptv
CCTV12社会与法,http://222.217.243.197:8181/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://221.226.218.162:9901/tsfile/live/65443_1.m3u8?key=txiptv
CCTV13新闻,http://221.226.218.162:9901/tsfile/live/65444_1.m3u8?key=txiptv
CCTV14少儿,http://221.226.218.162:9901/tsfile/live/65445_1.m3u8?key=txiptv
CCTV15音乐,http://222.217.243.197:8181/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://221.226.218.162:9901/tsfile/live/65446_1.m3u8?key=txiptv
CCTV16奥林匹克,http://221.226.218.162:9901/tsfile/live/65447_1.m3u8?key=txiptv
CCTV17农业农村,http://221.226.218.162:9901/tsfile/live/65448_1.m3u8?key=txiptv




CCTV1综合,http://183.134.3.22:8888/newlive/live/hls/2/live.m3u8
CCTV1综合,http://182.107.188.104:8888/newlive/live/hls/2/live.m3u8
CCTV2财经,http://182.107.188.104:8888/newlive/live/hls/3/live.m3u8
CCTV3综艺,http://182.107.188.104:8888/newlive/live/hls/4/live.m3u8
CCTV4中文国际,http://182.107.188.104:8888/newlive/live/hls/5/live.m3u8
CCTV5体育,http://182.107.188.104:8888/newlive/live/hls/6/live.m3u8
CCTV5+体育赛事,http://182.107.188.104:8888/newlive/live/hls/7/live.m3u8
CCTV6电影,http://182.107.188.104:8888/newlive/live/hls/8/live.m3u8
CCTV7国防军事,http://182.107.188.104:8888/newlive/live/hls/9/live.m3u8
CCTV8电视剧,http://182.107.188.104:8888/newlive/live/hls/10/live.m3u8
CCTV9记录,http://182.107.188.104:8888/newlive/live/hls/11/live.m3u8
